Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Utility-Gas Main Rupture,1000 Broadway,Brooklyn,05/12/2014 03:31:27 PM,05/12/2014 06:40:51 PM,40.6960455493637,-73.93366405025489
Utility-Gas Main Rupture,Flatbush Ave & Shore Parkway,Brooklyn,08/21/2014 09:53:30 PM,11/02/2014 12:31:08 PM,40.59651127013621,-73.90787551923017
Utility-Gas Main Rupture,85-01 24th Avenue,queens,10/24/2014 08:23:20 AM,11/02/2014 12:36:11 PM,40.76518368100936,-73.88419897484425
Utility-Gas Main Rupture,21-15 Amory Court,Queens,05/13/2011 09:05:57 PM,05/13/2011 11:33:41 PM,40.71211777103054,-73.91008561168653
Utility-Gas Main Rupture,186 Dyckman Street,Manhattan,05/24/2011 01:21:34 PM,05/24/2011 04:38:59 PM,40.86437699249041,-73.92653574970556
Utility-Gas Main Rupture,Washington Street & Water Street,Brooklyn,06/02/2011 08:27:26 AM,06/02/2011 10:55:53 AM,40.70319899516361,-73.98958406676019
Utility-Gas Main Rupture,75-09 Main St,Queens,06/03/2011 03:58:49 PM,06/04/2011 12:50:20 AM,40.72376288405834,-73.82024433052395
Utility-Gas Main Rupture,110-10 179 Place,Queens,07/07/2011 10:04:19 AM,07/07/2011 09:06:53 PM,40.69923006317026,-73.77493450081198
Utility-Gas Main Rupture,640 West 249 Street,Bronx,07/08/2011 11:37:15 AM,07/08/2011 01:41:47 PM,40.89754387701096,-73.91100674505495
Utility-Gas Main Rupture,West 231st Street & Kingsbridge Ave,Bronx,07/26/2011 08:28:34 PM,07/27/2011 06:53:07 AM,40.87980695578118,-73.90657531911
Utility-Gas Main Rupture,53 East 65th Street,Manhattan,08/10/2011 09:45:15 AM,08/10/2011 10:26:38 AM,40.76709289628782,-73.96806157606984
Utility-Gas Main Rupture,128 Clymer St,Brooklyn,08/15/2011 11:23:04 AM,08/15/2011 08:31:21 PM,40.706177461584964,-73.96420985934118
Utility-Gas Main Rupture,440 West 164th Street,Manhattan,10/26/2011 11:52:14 AM,10/26/2011 12:55:04 PM,40.836744390236476,-73.93770781056466
Utility-Gas Main Rupture,231 Richmond Valley Road,Staten Island,11/01/2011 05:12:52 PM,11/01/2011 07:28:04 PM,40.52102871069462,-74.23625945554504
Utility-Gas Main Rupture,241 Washington Avenue,Brooklyn,04/06/2012 09:36:50 AM,04/06/2012 11:37:43 AM,40.6912850328393,-73.9664571673484
Utility-Gas Main Rupture,131 Parkside Avenue,Brooklyn,04/09/2012 09:13:43 AM,04/09/2012 10:33:15 AM,40.65372502832414,-73.96481102666814
Utility-Gas Main Rupture,50 Street & 54 Avenue,Queens,09/06/2012 05:07:20 PM,09/06/2012 07:03:26 PM,,
Utility-Gas Main Rupture,112-20  Rockaway Blvd,Queens,09/17/2012 11:39:33 AM,09/17/2012 01:07:19 PM,40.67726180912707,-73.82615606217887
Utility-Gas Main Rupture,976 2nd Avenue,Manhattan,10/01/2012 12:09:27 PM,10/01/2012 12:51:58 PM,40.75588877430997,-73.96777458043348
Utility-Gas Main Rupture,529 West 20 Street,Manhattan,11/11/2012 02:12:49 PM,11/11/2012 03:08:08 PM,40.74628647584679,-74.00662604628981
Utility-Gas Main Rupture,570 Wythe Avenue,Brooklyn,12/04/2012 10:35:03 AM,12/05/2012 05:12:32 AM,40.705966921983666,-73.9669078401588
Utility-Gas Main Rupture,Rockaway Beach Blvd & Beach 67th Street,Queens,11/20/2013 03:32:22 PM,11/20/2013 07:27:25 PM,40.59072653651718,-73.7959926256566
Utility-Gas Main Rupture,101 Street & Fort Hamilton Parkway,Brooklyn,12/17/2013 02:45:58 PM,12/17/2013 05:11:19 PM,40.61115688052696,-74.0325589383034
Utility-Gas Main Rupture,1192 Fairfax Avenue,Bronx,04/14/2014 12:28:09 PM,04/14/2014 01:27:11 PM,40.83690392275731,-73.8238560842355
Utility-Gas Main Rupture,3981  Boston Road,Bronx,04/16/2014 09:57:10 AM,04/16/2014 11:14:10 PM,40.88439012139753,-73.83313668528355
Utility-Gas Main Rupture,,Brooklyn,06/16/2014 02:41:46 PM,06/19/2014 03:15:27 AM,,
Utility-Gas Main Rupture,,New York,08/13/2014 01:54:10 PM,08/13/2014 04:20:03 PM,,
Utility-Gas Main Rupture,7600 Shore Front Parkway,Queens,10/09/2014 09:01:10 AM,10/09/2014 02:18:53 PM,40.58655105235666,-73.80350487836684
Utility-Gas Main Rupture,27-06 Seagirt Ave,Queens,02/06/2015 01:48:41 PM,02/06/2015 03:10:46 PM,40.595032781215394,-73.76026679174066
Utility-Gas Main Rupture,Bond St & Schermerhorn st,Brooklyn,03/09/2015 11:51:20 AM,03/09/2015 01:09:59 PM,40.688173493180386,-73.98398658721251
Utility-Gas Main Rupture,155 West 35 Street,Manhattan,04/15/2015 02:11:14 AM,04/15/2015 03:01:09 AM,40.751182770826944,-73.9889882608122
Utility-Gas Main Rupture,88-08 164 Street,Queens,04/24/2015 10:39:02 AM,04/24/2015 12:25:12 PM,,
Utility-Gas Main Rupture,10622 Farragut Road,Brooklyn,05/22/2015 09:07:11 PM,05/22/2015 11:11:18 PM,40.651304317868494,-73.89672531475607
Utility-Gas Main Rupture,8900 Van Wyck Expressway,queens,06/01/2015 04:12:31 PM,06/01/2015 07:26:35 PM,40.71400364095638,-73.82998933154158
Utility-Gas Main Rupture,127 Pearl Street,Manhattan,06/03/2015 08:51:20 PM,06/04/2015 11:36:17 AM,40.705062845199706,-74.00853712025145
Utility-Gas Main Rupture,thompson street & Front Street,Staten Island,06/18/2015 08:20:30 AM,06/18/2015 09:47:10 AM,40.626113278138554,-74.07397651432953
Utility-Gas Main Rupture,East 68 Street & 2nd Avenue,Manhattan,09/29/2015 07:06:11 PM,10/14/2015 08:48:58 PM,40.766239589961806,-73.9602318102716
Utility-Gas Main Rupture,250 Ashland Place,Brooklyn,03/02/2016 01:57:20 PM,03/02/2016 03:33:17 PM,40.68772242585023,-73.97833642565752
Utility-Gas Main Rupture,East 71 Street & York Avenue,Manhattan,03/30/2016 02:38:04 PM,04/02/2016 10:54:25 AM,,
Utility-Gas Main Rupture,2316 Surf Avenue,Brooklyn,06/22/2016 03:42:48 PM,06/25/2016 12:45:05 PM,40.57389491984841,-73.99003978732365
Utility-Gas Main Rupture,33 Eagle Street,Brooklyn,07/22/2016 10:28:58 AM,07/22/2016 11:29:05 AM,40.734762482710956,-73.95925830489587
Utility-Gas Main Rupture,112 Atlantic Avenue,Brooklyn,08/17/2016 08:42:29 AM,08/17/2016 10:33:28 AM,40.69067227693097,-73.9959541269118
Utility-Gas Main Rupture,,Brooklyn,09/30/2016 08:10:13 AM,09/30/2016 09:54:42 AM,,
